City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.46,78,99,3.22,PN,1704332821
1,saint-memmie,48.9525,4.3841,10.01,78,97,9.26,FR,1704332821
2,blackmans bay,-43.0167,147.3167,18.18,69,35,0.45,AU,1704332822
3,port-aux-francais,-49.35,70.2167,4.47,68,69,14.49,TF,1704332822
4,pariaman,-0.619,100.12,28.03,82,98,0.87,ID,1704332822
5,altai,46.3722,96.2583,-15.1,50,56,1.2,MN,1704332822
6,magadan,59.5667,150.8,-23.22,82,55,2.17,RU,1704332823
7,mugia,43.1041,-9.2179,12.73,86,100,10.03,ES,1704332823
8,taoudenni,22.6783,-3.9836,18.08,21,99,5.09,ML,1704332824
9,horta,38.5333,-28.6333,15.01,90,25,1.34,PT,1704332821
10,haiku-pauwela,20.9219,-156.3051,28.01,59,0,9.26,US,1704332608
11,waitangi,-43.9535,-176.5597,18.23,81,11,4.02,NZ,1704332825
12,iqaluit,63.7506,-68.5145,-16.15,55,20,10.29,CA,1704332526
13,grytviken,-54.2811,-36.5092,3.66,78,100,0.69,GS,1704332605
14,nikolayevsk-on-amure,53.1406,140.73,-16.86,89,100,1.15,RU,1704332605
15,sur,22.5667,59.5289,21.21,71,45,1.69,OM,1704332826
16,gloucester,51.8657,-2.2431,9.17,86,99,1.34,GB,1704332826
17,college,64.8569,-147.8028,-14.82,70,40,4.12,US,1704332542
18,edinburgh of the seven seas,-37.0676,-12.3116,16.63,89,100,5.02,SH,1704332827
19,yellowknife,62.456,-114.3525,-28.71,69,100,3.09,CA,1704332725
20,anadyr,64.75,177.4833,-13.72,92,100,7.0,RU,1704332603
21,port lincoln,-34.7333,135.8667,20.09,79,70,6.74,AU,1704332828
22,mount pearl,47.5166,-52.7813,0.04,85,100,1.54,CA,1704332686
23,trairi,-3.2778,-39.2689,26.6,83,100,3.38,BR,1704332804
24,bredasdorp,-34.5322,20.0403,19.05,87,100,5.85,ZA,1704332829
25,nemuro,43.3236,145.575,-0.67,62,58,3.44,JP,1704332829
26,khanty-mansiysk,61.0042,69.0019,-36.94,67,23,2.0,RU,1704332829
27,shingu,33.7333,135.9833,11.67,50,3,3.85,JP,1704332830
28,shelui,-4.3667,34.2,18.26,96,100,0.43,TZ,1704332830
29,invercargill,-46.4,168.35,18.34,76,100,4.47,NZ,1704332830
30,port mathurin,-19.6833,63.4167,27.05,94,20,1.03,MU,1704332830
31,eirunepe,-6.6603,-69.8736,23.44,98,70,0.98,BR,1704332831
